Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,10.53,10.62,10.31,10.52,8.438247,517500
2015-01-05,10.47,10.56,10.39,10.5,8.422203999999999,610400
2015-01-06,10.52,10.59,10.28,10.36,8.309907,387400
2015-01-07,10.45,10.47,10.2,10.44,8.374077,673100
2015-01-08,10.45,10.56,10.29,10.56,8.470332,468200
2015-01-09,10.54,10.56,10.29,10.3,8.261783,409000
2015-01-12,10.3,10.39,10.18,10.34,8.293866,478400
2015-01-13,10.42,10.45,10.3,10.39,8.333972,548900
2015-01-14,10.31,10.48,10.27,10.45,8.382099,396500
2015-01-15,10.5,10.69,10.43,10.64,8.534500999999999,874700
2015-01-16,10.53,10.64,10.48,10.59,8.494394999999999,658100
2015-01-20,10.6,10.66,10.28,10.37,8.31793,777200
2015-01-21,10.48,10.74,10.38,10.5,8.422203999999999,645900
2015-01-22,10.59,10.79,10.47,10.77,8.638777000000001,703200
2015-01-23,10.78,10.87,10.68,10.83,8.686902,778600
2015-01-26,10.85,11.03,10.78,11.01,8.831284,997100
2015-01-27,10.87,11.0,10.87,10.97,8.799197,483100
2015-01-28,11.03,11.05,10.81,10.83,8.686902,698400
2015-01-29,10.83,10.96,10.73,10.95,8.783155,1137900
2015-01-30,10.48,10.66,10.45,10.52,8.438247,5109300
2015-02-02,10.57,10.66,10.2,10.31,8.269803999999999,1324900
2015-02-03,10.31,10.59,10.29,10.58,8.486373,1044800
2015-02-04,10.51,10.77,10.48,10.59,8.494394999999999,713000
2015-02-05,10.66,10.87,10.6,10.83,8.686902,822900
2015-02-06,10.86,10.88,10.48,10.51,8.430225,1079300
2015-02-09,10.51,10.59,10.34,10.36,8.309907,795400
2015-02-10,10.39,10.57,10.29,10.54,8.454288,1096600
2015-02-11,10.51,10.64,10.4,10.54,8.454288,533100
2015-02-12,10.62,10.73,10.54,10.67,8.558563000000001,557200
2015-02-13,10.66,10.73,10.52,10.63,8.526481,386300
2015-02-17,10.56,10.79,10.56,10.65,8.542521,670400
2015-02-18,10.6,10.75,10.55,10.75,8.622733,431500
2015-02-19,10.72,10.72,10.5,10.57,8.478351,487200
2015-02-20,10.53,10.64,10.5,10.57,8.478351,421300
2015-02-23,10.59,10.67,10.51,10.58,8.486373,497200
2015-02-24,10.55,10.57,10.45,10.5,8.422203999999999,584300
2015-02-25,10.52,10.73,10.5,10.56,8.470332,644400
2015-02-26,10.53,10.64,10.4,10.6,8.502417,701300
2015-02-27,10.82,10.84,10.48,10.65,8.542521,2130500
2015-03-02,10.32,10.61,10.27,10.37,8.31793,1478800
2015-03-03,10.24,10.42,10.12,10.42,8.358036,856700
2015-03-04,10.36,10.39,10.24,10.32,8.277824,733500
2015-03-05,10.37,10.41,10.22,10.28,8.245739,607000
2015-03-06,10.19,10.19,9.9,9.96,7.989063000000001,1151400
2015-03-09,10.01,10.1,9.84,9.9,7.9409350000000005,1009200
2015-03-10,9.86,9.9,9.65,9.7,7.780512,1181700
2015-03-11,9.68,9.7,9.57,9.66,7.748425999999999,631900
2015-03-12,9.72,9.96,9.69,9.95,7.981041,618100
2015-03-13,9.96,10.02,9.75,9.85,7.900831,660500
2015-03-16,9.94,10.0,9.81,9.83,7.884788,618300
2015-03-17,9.8,9.83,9.71,9.81,7.868746000000001,474700
2015-03-18,9.8,9.85,9.61,9.84,7.892810000000001,861900
2015-03-19,9.79,9.93,9.79,9.89,7.932914,345200
2015-03-20,9.93,10.18,9.93,10.16,8.149485,830700
2015-03-23,10.16,10.32,10.16,10.18,8.165526,579900
2015-03-24,10.16,10.18,10.03,10.11,8.109378999999999,447400
2015-03-25,10.13,10.13,9.58,9.66,7.748425999999999,842200
2015-03-26,9.6,9.73,9.53,9.68,7.764469999999999,557700
