Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2480.0,2503.0,2437.0,2465.0,2121.759766,398988
2015-01-05,2463.0,2519.0,2448.0,2465.0,2121.759766,536396
2015-01-06,2473.0,2473.0,2413.300049,2440.0,2100.240967,546045
2015-01-07,2464.0,2494.0,2435.0,2446.0,2105.405518,511052
2015-01-08,2464.0,2475.0,2412.0,2450.0,2108.848389,364399
2015-01-09,2428.0,2429.0,2315.02002,2345.0,2018.46936,659439
2015-01-12,2342.0,2373.0,2305.0,2314.0,1991.785522,746501
2015-01-13,2306.0,2367.0,2302.919922,2356.0,2027.9375,461153
2015-01-14,2323.0,2352.0,2301.0,2335.0,2009.8615719999998,687720
2015-01-15,2351.0,2354.0,2285.0,2337.0,2011.5833739999998,561045
2015-01-16,2329.0,2338.0,2288.0,2309.0,1987.4820559999998,380302
2015-01-19,2306.0,2356.0,2296.0,2344.0,2017.608398,389093
2015-01-20,2352.0,2358.25,2281.0,2285.0,1966.824097,557027
2015-01-21,2287.0,2334.0,2264.0,2333.0,2008.140259,692928
2015-01-22,2340.0,2383.0,2340.0,2357.0,2028.7984620000002,499053
2015-01-23,2387.0,2387.0,2322.0,2356.0,2027.9375,351430
2015-01-26,2413.0,2420.0,2369.0,2395.0,2061.50708,450435
2015-01-27,2403.0,2413.0,2356.0,2376.0,2045.15271,477047
2015-01-28,2390.0,2411.399902,2378.0,2411.0,2075.279053,377713
2015-01-29,2395.0,2434.0,2391.449951,2434.0,2095.076416,261223
2015-01-30,2437.0,2472.0,2419.0,2423.0,2085.608154,482723
2015-02-02,2421.0,2453.0,2401.0,2417.0,2080.443604,367465
2015-02-03,2417.0,2450.0,2413.0,2446.0,2105.405518,332283
2015-02-04,2441.0,2478.0,2408.0,2478.0,2132.949951,664464
2015-02-05,2454.0,2494.0,2449.0,2484.0,2138.1142579999996,468820
2015-02-06,2502.0,2535.0,2475.0,2531.0,2178.56958,604845
2015-02-09,2508.0,2527.0,2471.0,2486.0,2139.835693,526648
2015-02-10,2481.0,2492.76001,2461.0,2486.0,2139.835693,621545
2015-02-11,2492.0,2543.0,2484.0,2509.0,2159.633057,423901
2015-02-12,2509.0,2556.0,2497.0,2552.0,2196.645752,507842
2015-02-13,2575.0,2611.0,2506.0,2516.0,2165.658691,485493
2015-02-16,2519.0,2540.0,2503.0,2540.0,2186.316406,187255
