Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,766.0,779.0,756.0,765.0,744.810913,770648
2015-01-05,772.0,799.5,764.5,768.5,748.2185059999999,1497035
2015-01-06,770.0,799.0,770.0,790.5,769.637939,1737721
2015-01-07,796.5,800.5,777.0,798.0,776.9400019999999,1570559
2015-01-08,803.0,828.0,793.1400150000001,824.5,802.740601,1321525
2015-01-09,825.5,825.927979,792.0,816.0,794.464966,1313488
2015-01-12,821.0,832.0,812.434021,825.5,803.714172,1168127
2015-01-13,830.5,843.0,826.0,831.5,809.555847,1322485
2015-01-14,819.0,822.5,784.0,816.0,794.464966,1786807
2015-01-15,821.0,860.5,800.5,855.0,832.4356690000001,3291401
2015-01-16,855.5,888.5,837.0,884.5,861.157166,1437952
2015-01-19,885.0,894.0,873.0,876.0,852.8814699999999,849145
2015-01-20,876.0,914.5,872.0,911.0,886.957825,1577169
2015-01-21,914.5,939.5,907.0,924.5,900.101563,1783048
2015-01-22,928.5,930.0,896.5,915.0,890.8522949999999,2023665
2015-01-23,910.0,910.0,889.0,897.0,873.3272710000001,1184837
2015-01-26,892.5,899.5,871.5,896.5,872.8404539999999,2682544
2015-01-27,896.0,913.210999,896.0,910.0,885.984253,837610
2015-01-28,912.0,921.0,893.5,910.0,885.984253,1016183
2015-01-29,903.0,903.0,860.0,862.5,839.737793,1613365
2015-01-30,867.0,905.0,867.0,899.0,875.274475,1489384
2015-02-02,880.0,904.4600220000001,873.0,886.5,863.1044310000001,1118085
2015-02-03,887.0,921.0,874.0,880.0,856.7758789999999,1557005
2015-02-04,879.0,903.0,860.5,888.0,864.5648189999999,1316253
2015-02-05,889.0,897.0,873.0,897.0,873.3272710000001,918969
2015-02-06,898.0,908.0,856.5,860.0,837.303772,1384085
2015-02-09,859.5,899.5,859.5,896.0,872.353699,1189521
2015-02-10,892.0,898.5,854.5,859.5,836.816956,1590448
2015-02-11,855.0,867.0,848.5,859.0,836.3300780000001,1140568
2015-02-12,857.0,880.0,855.5,870.5,847.5266109999999,987854
2015-02-13,865.0,886.5,848.5,879.0,855.802307,1134058
2015-02-16,859.0,876.5,838.0,840.5,818.318359,1540323
2015-02-17,836.0,860.0,825.5,835.5,813.450317,1345573
2015-02-18,825.5,842.5,821.0,839.0,816.85791,1212692
2015-02-19,836.5,859.5,834.0,836.5,814.4238889999999,989668
2015-02-20,837.5,838.0,824.0,827.0,805.174622,1296093
2015-02-23,830.0,830.0,795.5,802.5,781.321228,1476266
2015-02-24,804.0,832.5,795.5,827.0,805.174622,1870253
2015-02-25,831.5,848.5,822.900024,825.0,803.227478,1157216
2015-02-26,827.0,848.5,820.812012,824.0,802.2538450000001,982962
2015-02-27,821.5,825.5,804.5,821.0,799.3330080000001,1297884
2015-03-02,825.0,840.0,802.5,811.5,790.08374,1278407
2015-03-03,803.0,804.5,786.5,791.5,770.61145,2144792
2015-03-04,768.5,773.880005,716.5,724.5,705.379761,3207155
2015-03-05,728.0,743.0,708.6400150000001,736.5,717.063049,1783841
2015-03-06,732.5,735.8599849999999,696.5,698.5,680.065857,1961669
2015-03-09,697.0,713.5,682.5,686.0,667.895813,1887797
2015-03-10,680.5,685.75,655.5,657.0,639.661072,2787899
2015-03-11,656.0,660.0,639.0,650.0,632.845825,2005832
2015-03-12,665.0,678.0,649.5,653.5,636.253479,2000562
2015-03-13,654.0,664.5,635.5,646.5,629.438171,1646437
2015-03-16,654.0,655.75,644.0,648.5,631.3854980000001,1094711
2015-03-17,647.0,665.179993,642.5,659.0,641.608337,4799954
2015-03-18,656.0,662.5,630.5,644.0,627.004211,1833250
2015-03-19,661.0,688.409973,661.0,679.0,661.080505,2906617
2015-03-20,677.0,712.5,669.5,706.5,687.854736,2452036
2015-03-23,707.0,710.5,696.062988,709.5,690.775635,2060578
2015-03-24,709.0,720.5,703.5,708.0,689.315125,1868243
2015-03-25,710.0,719.5,705.0,711.0,692.236084,1124021
2015-03-26,736.0,749.0,705.125,710.5,691.749146,2038559
2015-03-27,707.0,712.5,689.0,700.0,681.526245,1662486
2015-03-30,705.5,711.0,693.0,700.5,682.0131230000001,2391446
2015-03-31,700.0,703.5,682.5,682.5,664.488098,1928832
2015-04-01,685.0,704.0,679.5,700.0,681.526245,2188019
2015-04-02,701.0,709.5,687.0,691.5,673.250671,1396893
2015-04-07,691.5,715.5,691.5,705.0,686.394287,1438873
2015-04-08,706.5,713.5,683.5,686.0,667.895813,1524006
2015-04-09,684.0,697.0,678.0,691.0,672.763855,1240682
2015-04-10,692.5,705.0,686.0,703.5,684.93396,1563218
2015-04-13,704.0,726.5,703.5,709.5,690.775635,1282895
2015-04-14,706.0,725.630005,705.0,722.5,703.432495,1343378
2015-04-15,726.5,748.0,724.0,738.0,718.523499,1309449
2015-04-16,742.5,765.5,741.0,743.5,723.878235,1715353
2015-04-17,739.5,743.780029,724.5,728.5,709.27417,1657716
2015-04-20,732.5,733.263977,713.0,716.0,697.104004,934329
2015-04-21,718.5,723.0,706.0,709.0,690.288757,1260865
2015-04-22,712.5,719.0,696.0,703.0,684.4471440000001,1133695
2015-04-23,701.0,729.0,686.5,727.5,708.300537,2156266
2015-04-24,729.0,740.0,720.5,723.5,704.406067,1726010
2015-04-27,725.0,733.0,710.5,727.5,708.300537,1564747
2015-04-28,725.0,746.64502,720.0,743.0,723.391541,3100414
2015-04-29,745.0,756.5,738.0,739.0,719.497131,1686456
2015-04-30,737.0,741.5,711.0,719.5,702.3884889999999,2399389
2015-05-01,709.5,734.5,709.5,712.0,695.066772,721717
2015-05-05,712.0,745.5,712.0,730.5,713.126892,1730678
2015-05-06,727.5,738.0,719.0,728.5,711.1745,1734640
2015-05-07,725.5,730.5,699.0,704.0,687.25708,1557395
2015-05-08,711.5,725.0,699.875,706.5,689.697632,1197853
2015-05-11,706.5,722.5,699.5,701.5,684.8165280000001,1106468
2015-05-12,700.5,716.5,693.5,713.5,696.5311889999999,1833502
2015-05-13,718.0,749.5,710.0,749.5,731.6750490000001,2767303
2015-05-14,746.0,770.0,738.3259889999999,761.0,742.901489,1687268
2015-05-15,761.0,765.5,735.8599849999999,752.0,734.11554,1127361
2015-05-18,755.5,796.0,755.5,792.5,773.6524049999999,2420804
2015-05-19,787.0,790.5,761.5,764.5,746.3182370000001,1931989
2015-05-20,764.5,770.0,755.5,759.0,740.949036,1213503
2015-05-21,760.5,781.0,752.5,761.0,742.901489,1657258
2015-05-22,764.0,782.0,759.5,763.0,744.853943,1129521
2015-05-26,763.0,763.5,732.5,736.0,718.4960940000001,1707322
2015-05-27,738.5,747.5,725.5,743.5,725.817749,1056163
2015-05-28,746.0,746.5,732.0,740.5,722.889099,1098500
2015-05-29,743.5,765.0,739.0,759.5,741.437134,1967187
2015-06-01,764.5,766.0,740.5,754.5,736.556152,1378449
2015-06-02,753.5,763.5,737.5,757.0,738.996643,1243811
2015-06-03,752.0,756.5,737.0,746.5,728.746399,1079963
2015-06-04,737.0,740.5,722.5,724.0,706.781433,1239833
2015-06-05,722.0,729.5,713.0,719.0,701.900391,923602
2015-06-08,716.0,730.0,708.437988,716.5,699.459839,888066
2015-06-09,718.0,727.0,710.0,715.0,697.995544,1377529
2015-06-10,717.0,741.0,714.5,737.5,719.960388,1371283
2015-06-11,732.5,739.0,724.0,736.0,718.4960940000001,1330723
2015-06-12,733.5,742.0,721.0,737.0,719.472229,957262
2015-06-15,751.0,753.1400150000001,728.5,733.5,716.055542,1383281
2015-06-16,732.5,733.5,718.5,720.0,702.876587,2098136
2015-06-17,719.0,722.0,709.0,712.0,695.066772,964991
2015-06-18,717.0,740.77002,715.5,727.0,709.710083,1899771
2015-06-19,724.0,729.5,712.5,712.5,695.554993,1371088
2015-06-22,719.0,719.0,699.992981,703.5,686.768982,1207469
2015-06-23,706.0,716.0,703.0,710.5,693.602539,939756
2015-06-24,710.0,720.5,708.5,714.5,697.507385,630357
2015-06-25,712.0,716.0,704.5,707.0,690.185791,757749
2015-06-26,702.5,713.5,697.0,698.0,681.399841,832979
2015-06-29,687.5,705.5,683.0,700.5,683.840393,978757
2015-06-30,697.0,703.5,689.5,694.0,677.494934,1382078
2015-07-01,695.0,703.5,685.724976,690.5,674.0781860000001,1070519
2015-07-02,686.5,699.0,684.0,688.0,671.6375730000001,807733
2015-07-03,683.5,689.771973,680.0,683.0,666.756531,563502
2015-07-06,682.5,689.0,677.5,687.0,670.6613769999999,648726
2015-07-07,687.5,687.5,651.0,655.5,639.910583,1118064
2015-07-08,652.0,673.5,649.0,665.0,649.184631,1149060
2015-07-09,671.5,676.0,664.0,669.5,653.577637,727702
2015-07-10,675.5,681.5,667.0,672.0,656.018188,860756
2015-07-13,678.5,680.0,657.0,671.5,655.530029,848480
2015-07-14,670.5,677.5,662.0,676.5,660.4111330000001,962791
2015-07-15,675.0,695.0,674.0,676.5,660.4111330000001,1044673
2015-07-16,677.5,677.919983,663.5,668.5,652.601379,1102315
2015-07-17,671.0,671.0,653.5,658.0,642.351013,836338
2015-07-20,650.5,650.719971,621.5,629.0,614.040771,1587514
2015-07-21,625.5,657.5,624.0,652.0,636.493835,1348489
2015-07-22,644.5,644.5,621.0,635.0,619.898071,2340968
2015-07-23,638.0,654.0,631.5,633.5,618.433777,1500359
2015-07-24,631.0,643.0,616.5,618.5,603.790466,1443648
2015-07-27,625.0,636.0,618.0,625.5,610.624084,1209290
