Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2.63,2.81,2.58,2.81,2.81,7980500
2015-01-05,2.85,3.03,2.8,3.02,3.02,14845300
2015-01-06,3.03,3.28,2.99,3.25,3.25,23421300
2015-01-07,3.13,3.24,2.93,3.13,3.13,13168800
2015-01-08,3.14,3.18,2.92,2.98,2.98,9033300
2015-01-09,2.97,3.04,2.86,2.95,2.95,13359500
2015-01-12,2.94,3.22,2.9,3.13,3.13,11770200
2015-01-13,3.2,3.23,2.93,2.98,2.98,10180800
2015-01-14,3.08,3.13,2.84,2.9,2.9,11130200
2015-01-15,3.05,3.09,2.93,3.01,3.01,12736500
2015-01-16,3.08,3.2,3.02,3.07,3.07,10931700
2015-01-20,3.13,3.36,3.1,3.32,3.32,11556800
2015-01-21,3.37,3.39,3.06,3.18,3.18,11707800
2015-01-22,3.23,3.25,3.1,3.11,3.11,13565700
2015-01-23,3.01,3.03,2.81,2.82,2.82,11007000
2015-01-26,2.74,2.8,2.61,2.8,2.8,11290300
2015-01-27,2.83,2.94,2.83,2.9,2.9,9128900
2015-01-28,2.85,2.87,2.6,2.65,2.65,8398500
2015-01-29,2.56,2.67,2.51,2.63,2.63,7143100
2015-01-30,2.61,2.71,2.58,2.67,2.67,9026300
2015-02-02,2.63,2.74,2.61,2.67,2.67,6945400
2015-02-03,2.64,2.72,2.55,2.55,2.55,8528300
2015-02-04,2.61,2.7,2.56,2.69,2.69,10038700
2015-02-05,2.68,2.7,2.6,2.65,2.65,6911700
2015-02-06,2.52,2.59,2.47,2.53,2.53,9158500
2015-02-09,2.58,2.58,2.49,2.51,2.51,5767800
2015-02-10,2.48,2.51,2.43,2.47,2.47,8359300
2015-02-11,2.47,2.48,2.35,2.37,2.37,6614700
2015-02-12,2.42,2.44,2.3,2.31,2.31,6688100
2015-02-13,2.35,2.37,2.23,2.23,2.23,12657100
2015-02-17,2.22,2.27,2.19,2.21,2.21,8013800
2015-02-18,2.23,2.34,2.17,2.33,2.33,6980500
2015-02-19,2.41,2.41,2.29,2.31,2.31,7602400
2015-02-20,2.31,2.4,2.29,2.33,2.33,8864700
2015-02-23,2.32,2.39,2.28,2.38,2.38,5260800
2015-02-24,2.35,2.36,2.26,2.28,2.28,8554900
2015-02-25,2.35,2.39,2.33,2.33,2.33,5430400
2015-02-26,2.37,2.42,2.35,2.36,2.36,4400100
2015-02-27,2.4,2.47,2.38,2.45,2.45,3563900
2015-03-02,2.47,2.51,2.37,2.39,2.39,3687300
2015-03-03,2.41,2.46,2.29,2.33,2.33,3522700
2015-03-04,2.32,2.35,2.21,2.24,2.24,5350100
2015-03-05,2.26,2.26,2.16,2.18,2.18,6068700
2015-03-06,2.06,2.1,2.02,2.04,2.04,6912300
2015-03-09,2.06,2.06,1.9,1.91,1.91,6280400
2015-03-10,1.9,1.95,1.75,1.81,1.81,7921900
