Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,4.2,4.27,3.99,4.19,4.040357,100500
2015-01-05,4.19,4.21,4.0,4.03,3.886072,38500
2015-01-06,4.05,4.05,3.86,3.93,3.789643,34300
2015-01-07,3.97,4.05,3.85,4.02,3.876429,40400
2015-01-08,4.07,4.08,3.96,4.01,3.8667860000000003,34000
2015-01-09,4.0,4.04,3.94,4.0,3.857143,43500
2015-01-12,3.92,4.0,3.9,3.92,3.78,72200
2015-01-13,3.83,4.03,3.83,3.92,3.92,33300
2015-01-14,3.88,3.97,3.85,3.97,3.97,43400
2015-01-15,3.95,3.95,3.76,3.83,3.83,43500
2015-01-16,3.81,4.05,3.81,4.0,4.0,62400
2015-01-20,3.98,4.08,3.87,3.96,3.96,49000
2015-01-21,3.91,3.93,3.81,3.85,3.85,41200
2015-01-22,3.88,4.0,3.77,3.95,3.95,47300
2015-01-23,3.97,4.1,3.89,4.05,4.05,141000
2015-01-26,4.02,4.43,3.99,4.28,4.28,88500
2015-01-27,4.27,4.29,4.16,4.24,4.24,22300
2015-01-28,4.28,4.29,3.94,4.05,4.05,79800
2015-01-29,4.03,4.12,3.99,4.12,4.12,31100
2015-01-30,4.07,4.16,3.93,4.02,4.02,110900
2015-02-02,4.0,4.08,3.94,4.03,4.03,25600
2015-02-03,4.02,4.39,4.02,4.36,4.36,49500
2015-02-04,4.37,4.39,4.1,4.11,4.11,43500
2015-02-05,4.12,4.27,4.07,4.25,4.25,21700
2015-02-06,4.26,4.36,4.21,4.31,4.31,53700
2015-02-09,4.28,4.34,4.17,4.22,4.22,53800
2015-02-10,4.28,4.28,4.14,4.18,4.18,18100
2015-02-11,4.16,4.22,4.03,4.09,4.09,36500
2015-02-12,4.11,4.16,4.09,4.16,4.16,11900
2015-02-13,4.14,4.19,4.06,4.13,4.13,17400
2015-02-17,4.15,4.3,4.15,4.28,4.28,43100
2015-02-18,4.26,4.33,4.25,4.32,4.32,17200
2015-02-19,4.28,4.31,4.18,4.26,4.26,74200
2015-02-20,4.27,4.32,4.17,4.22,4.22,52800
2015-02-23,4.19,4.24,4.13,4.22,4.22,35800
2015-02-24,4.19,4.19,4.05,4.09,4.09,49500
2015-02-25,4.06,4.08,3.88,3.89,3.89,53100
2015-02-26,3.89,4.03,3.85,4.01,4.01,137900
2015-02-27,3.99,4.01,3.89,3.91,3.91,72200
2015-03-02,3.93,4.08,3.93,4.07,4.07,69900
2015-03-03,4.04,4.07,3.89,3.89,3.89,40000
2015-03-04,3.86,3.88,3.76,3.81,3.81,43400
2015-03-05,3.8,3.9,3.8,3.89,3.89,27500
2015-03-06,3.85,3.88,3.76,3.76,3.76,94900
2015-03-09,3.78,3.88,3.78,3.85,3.85,43100
2015-03-10,3.8,3.84,3.68,3.82,3.82,93300
2015-03-11,3.81,3.95,3.71,3.8,3.8,209300
2015-03-12,3.85,4.0,3.84,3.92,3.92,78800
2015-03-13,3.94,4.05,3.77,3.85,3.85,305200
2015-03-16,3.93,4.03,3.85,3.94,3.94,84300
2015-03-17,3.92,3.96,3.77,3.96,3.96,125600
2015-03-18,3.94,3.99,3.85,3.97,3.97,147200
2015-03-19,3.97,4.0,3.8,3.83,3.83,73800
2015-03-20,4.0,4.24,3.94,4.09,4.09,300700
2015-03-23,4.13,4.24,4.0,4.06,4.06,110900
2015-03-24,4.08,4.18,4.02,4.11,4.11,90400
2015-03-25,4.1,4.18,3.94,3.95,3.95,101000
2015-03-26,3.96,4.17,3.87,3.96,3.96,50200
2015-03-27,3.97,4.17,3.89,3.99,3.99,85200
2015-03-30,3.95,4.04,3.91,4.01,4.01,85500
2015-03-31,3.95,4.01,3.89,3.99,3.99,87200
2015-04-01,3.95,4.01,3.91,3.94,3.94,44800
2015-04-02,3.94,3.98,3.87,3.9,3.9,40100
2015-04-06,3.84,3.92,3.8,3.85,3.85,59900
2015-04-07,3.84,3.91,3.79,3.8,3.8,49700
2015-04-08,3.78,3.96,3.71,3.76,3.76,98100
2015-04-09,3.74,3.82,3.74,3.75,3.75,75100
2015-04-10,3.88,3.91,3.7,3.72,3.72,73100
2015-04-13,3.76,3.91,3.73,3.86,3.86,49100
2015-04-14,3.86,3.86,3.76,3.82,3.82,131300
2015-04-15,3.84,3.94,3.84,3.93,3.93,62700
2015-04-16,3.94,3.94,3.89,3.93,3.93,43200
2015-04-17,3.89,3.95,3.89,3.94,3.94,68900
2015-04-20,3.97,4.04,3.93,4.03,4.03,40700
2015-04-21,4.03,4.23,3.98,4.19,4.19,90400
2015-04-22,4.21,4.23,4.0,4.01,4.01,78900
