Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2358.0,2363.0,2330.0,2343.0,2226.464111,303598
2015-01-05,2328.0,2349.0,2275.0,2276.0,2162.796875,517247
2015-01-06,2276.0,2307.0,2244.0,2298.0,2183.702393,808111
2015-01-07,2311.0,2327.0,2292.0,2309.0,2194.155273,458706
2015-01-08,2342.0,2432.0,2313.0,2430.0,2309.137207,824399
2015-01-09,2431.0,2497.0,2427.0,2459.0,2336.695068,1051791
2015-01-12,2457.0,2468.5,2384.0,2393.0,2273.977539,789537
2015-01-13,2379.0,2412.0,2353.0,2363.0,2245.469482,425812
2015-01-14,2246.0,2307.0,2196.0,2244.0,2132.388428,1505421
2015-01-15,2261.0,2288.0,2242.0,2288.0,2174.199951,746688
2015-01-16,2269.0,2362.0,2257.0,2351.0,2234.066162,631316
2015-01-19,2346.0,2407.0,2332.0,2392.0,2273.027344,308160
2015-01-20,2407.0,2420.0,2355.0,2385.0,2266.375732,413432
2015-01-21,2361.0,2362.0,2250.0,2297.0,2182.751953,1262554
2015-01-22,2299.0,2362.0,2281.149902,2356.0,2238.817871,396140
2015-01-23,2362.0,2370.0,2318.0,2328.0,2212.210205,395206
2015-01-26,2316.0,2370.0,2270.0,2331.0,2215.061279,608250
2015-01-27,2326.0,2369.0,2241.0,2268.0,2155.19458,823524
2015-01-28,2263.0,2290.0,2255.0,2288.0,2174.199951,732809
2015-01-29,2275.0,2319.0,2266.0,2319.0,2203.657959,847418
2015-01-30,2303.0,2322.0,2281.0,2293.0,2178.951416,961692
2015-02-02,2296.0,2305.0,2264.0,2280.0,2166.5979,1992814
2015-02-03,2290.0,2438.0,2290.0,2429.0,2308.1870120000003,1486081
2015-02-04,2433.0,2435.0,2364.0,2398.0,2278.72876,822787
2015-02-05,2389.0,2455.0,2380.0,2452.0,2330.042969,375205
2015-02-06,2443.0,2465.0,2436.0,2456.0,2333.84375,421981
2015-02-09,2449.0,2484.0,2439.0,2448.0,2326.2416989999997,679744
2015-02-10,2446.0,2462.0,2430.0,2450.0,2328.142334,629610
2015-02-11,2455.0,2477.0,2431.0,2448.0,2326.2416989999997,326296
2015-02-12,2445.0,2571.0,2445.0,2568.0,2440.2734379999997,805415
2015-02-13,2570.0,2617.0,2559.0,2595.0,2465.9301760000003,517753
2015-02-16,2544.0,2564.0,2496.0,2508.0,2383.2578129999997,678526
2015-02-17,2500.0,2528.0,2466.01001,2510.0,2385.158203,391114
2015-02-18,2515.0,2547.0,2506.0,2527.0,2401.3125,350619
2015-02-19,2530.0,2537.0,2497.0,2524.0,2398.46167,304922
2015-02-20,2506.0,2547.0,2500.0,2547.0,2420.318115,590388
2015-02-23,2552.0,2552.0,2437.0,2461.0,2338.595459,699998
2015-02-24,2469.0,2482.0,2451.0,2470.0,2347.147461,514733
2015-02-25,2461.0,2469.0,2401.0,2422.0,2301.535156,719401
2015-02-26,2422.0,2476.0,2413.0,2470.0,2347.147461,865173
2015-02-27,2475.0,2533.0,2461.0,2530.0,2404.16333,1022670
2015-03-02,2560.0,2662.0,2542.0,2562.0,2434.571533,1206104
2015-03-03,2529.0,2544.0,2494.0,2513.0,2388.008789,864665
2015-03-04,2518.0,2539.0,2480.0,2528.0,2402.262695,638619
2015-03-05,2542.0,2611.0,2532.0,2597.0,2467.830811,1329819
2015-03-06,2601.0,2603.98999,2544.0,2586.0,2457.37793,593980
2015-03-09,2586.0,2586.0,2553.0,2570.0,2442.173828,341599
2015-03-10,2582.0,2582.0,2488.0,2495.0,2370.904053,562545
2015-03-11,2505.0,2528.360107,2485.0,2526.0,2400.362305,342255
2015-03-12,2529.0,2597.0,2529.0,2540.0,2413.666016,497821
2015-03-13,2538.0,2554.0,2536.0,2549.0,2422.2185059999997,335440
2015-03-16,2569.0,2571.0,2548.0,2556.0,2428.869873,340075
2015-03-17,2552.0,2559.0,2542.0,2552.0,2425.068848,458285
2015-03-18,2560.0,2598.0,2551.0,2570.0,2442.173828,983905
2015-03-19,2585.0,2611.919922,2578.0,2581.0,2452.626709,531182
2015-03-20,2584.0,2590.0,2564.0,2570.0,2442.173828,1007215
2015-03-23,2570.0,2585.0,2549.0,2579.0,2450.726318,396378
2015-03-24,2578.0,2584.0,2533.0,2536.0,2409.864746,390215
2015-03-25,2534.0,2534.0,2487.0,2512.0,2387.058838,399213
2015-03-26,2495.0,2508.0,2455.0,2477.0,2353.799316,705609
2015-03-27,2488.0,2490.0,2441.0,2456.0,2333.84375,430091
2015-03-30,2487.0,2502.0,2470.0,2480.0,2356.650391,398391
2015-03-31,2478.0,2520.0,2469.0,2498.0,2373.7548829999996,817082
2015-04-01,2478.0,2536.0,2474.0,2513.0,2388.008789,510445
2015-04-02,2507.0,2535.0,2495.0,2529.0,2403.213135,265972
2015-04-07,2529.0,2609.0,2529.0,2600.0,2470.681885,356020
2015-04-08,2610.0,2633.0,2577.0,2600.0,2470.681885,372051
2015-04-09,2603.0,2604.0,2561.0,2585.0,2456.427734,323204
2015-04-10,2586.0,2624.0,2586.0,2615.0,2484.935547,370855
2015-04-13,2624.97998,2624.97998,2624.97998,2624.0,2493.488037,183894
2015-04-14,2615.0,2652.0,2611.0,2629.0,2498.2392579999996,276183
2015-04-15,2627.0,2672.0,2624.0,2664.0,2531.498535,342255
2015-04-16,2684.0,2684.0,2647.0,2655.0,2522.946045,289439
2015-04-17,2610.0,2650.0,2601.0,2619.0,2488.736816,519389
2015-04-20,2630.0,2648.0,2609.0,2623.0,2492.537598,754213
2015-04-21,2629.0,2677.0,2628.469971,2664.0,2531.498535,411260
2015-04-22,2685.0,2685.0,2633.0,2650.0,2518.195068,805321
2015-04-23,2646.0,2683.0,2641.0,2680.0,2546.7028809999997,347552
2015-04-24,2683.0,2709.0,2667.0,2684.0,2550.503662,695798
2015-04-27,2692.0,2692.0,2651.0,2677.0,2543.8520510000003,443315
2015-04-28,2681.0,2705.0,2648.0,2654.0,2521.99585,342084
2015-04-29,2668.0,2689.0,2604.0,2604.0,2474.482422,490987
2015-04-30,2597.0,2616.0,2576.0,2612.0,2482.084717,581989
2015-05-01,2613.0,2633.0,2584.0,2626.0,2495.388428,141820
2015-05-05,2626.0,2683.0,2626.0,2631.0,2500.139893,413613
2015-05-06,2631.0,2659.0,2625.0,2630.0,2499.189697,369573
2015-05-07,2623.0,2630.0,2580.0,2613.0,2483.035156,521446
2015-05-08,2661.0,2709.0,2623.0,2650.0,2518.195068,531723
2015-05-11,2646.0,2677.0,2640.0,2656.0,2523.896484,366568
2015-05-12,2648.0,2655.0,2600.0,2638.0,2506.7919920000004,294125
2015-05-13,2641.0,2673.0,2641.0,2666.0,2533.39917,215668
2015-05-14,2671.0,2724.0,2649.0,2705.0,2570.459229,447287
2015-05-15,2712.0,2742.0,2683.0,2695.0,2560.956787,465662
2015-05-18,2705.0,2709.0,2663.0,2667.0,2534.349365,447407
2015-05-19,2668.0,2695.0,2658.0,2668.0,2535.299561,349226
2015-05-20,2674.0,2678.0,2609.0,2633.0,2502.040039,440954
2015-05-21,2596.0,2615.0,2582.0,2604.0,2505.986328,429988
2015-05-22,2602.0,2634.0,2593.0,2627.0,2528.120605,484597
2015-05-26,2627.0,2628.0,2556.0,2566.0,2469.41626,344985
2015-05-27,2566.0,2585.0,2566.0,2576.0,2479.040039,925443
2015-05-28,2550.0,2561.0,2500.0,2537.0,2441.5078129999997,511235
2015-05-29,2534.0,2536.0,2499.0,2501.0,2406.863037,834964
2015-06-01,2505.0,2546.0,2498.0,2524.0,2428.997314,496627
2015-06-02,2538.0,2563.0,2520.0,2543.0,2447.281982,490613
2015-06-03,2543.0,2581.0,2527.0,2570.0,2473.2661129999997,416541
2015-06-04,2565.0,2574.0,2536.0,2560.0,2463.64209,315077
2015-06-05,2548.0,2551.0,2521.0,2545.0,2449.206787,299769
2015-06-08,2545.0,2559.0,2525.0,2554.0,2457.868164,198312
2015-06-09,2557.0,2557.0,2526.0,2540.0,2444.39502,355699
2015-06-10,2538.0,2550.0,2522.0,2549.0,2453.056396,399665
2015-06-11,2541.0,2561.0,2514.0,2531.0,2435.7338870000003,337538
2015-06-12,2529.0,2529.0,2493.0,2499.0,2404.938232,393987
2015-06-15,2487.0,2492.0,2456.0,2461.0,2368.368408,325877
2015-06-16,2457.0,2475.0,2427.0,2472.0,2378.95459,427287
2015-06-17,2472.0,2529.0,2442.0,2455.0,2362.594482,317196
2015-06-18,2444.0,2447.0,2428.0,2443.0,2351.045898,314474
2015-06-19,2447.0,2465.0,2435.0,2453.0,2360.669434,608383
2015-06-22,2473.0,2477.0,2441.0,2467.0,2374.142822,384990
2015-06-23,2482.0,2507.0,2449.0,2466.0,2373.18042,442391
2015-06-24,2471.0,2474.0,2445.0,2452.0,2359.707275,597241
2015-06-25,2446.0,2447.840088,2428.0,2442.0,2350.08374,603713
2015-06-26,2440.0,2440.0,2413.0,2422.0,2330.8364260000003,312722
2015-06-29,2378.0,2488.0,2370.0,2472.0,2378.95459,741432
2015-06-30,2461.0,2466.0,2424.0,2450.0,2357.782715,685452
2015-07-01,2466.0,2476.0,2450.0,2462.0,2369.330811,363981
2015-07-02,2411.0,2437.0,2357.0,2383.0,2293.3041989999997,617028
