Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,10.74,10.829,10.26,10.41,9.007069,34900
2015-01-05,10.38,10.38,9.95,10.1,8.738845,99400
2015-01-06,10.1,10.25,10.1,10.2,8.825371,16800
2015-01-07,10.33,10.48,10.28,10.44,9.033024000000001,10800
2015-01-08,10.48,10.75,10.42,10.59,9.162808,24000
2015-01-09,10.7,10.7,10.42,10.5,9.084935,19300
2015-01-12,10.5,10.5,10.33,10.33,8.93785,13400
2015-01-13,10.26,10.74,10.05,10.65,9.214725,100200
2015-01-14,10.59,10.86,10.54,10.84,9.379118,38600
2015-01-15,10.88,10.88,10.592,10.6,9.171463000000001,22900
2015-01-16,10.59,10.74,10.5,10.61,9.180112,8800
2015-01-20,10.75,10.92,10.6,10.6,9.171463000000001,25200
2015-01-21,10.65,10.65,10.18,10.4,9.028224,21700
2015-01-22,10.64,10.922,10.31,10.47,9.088992,64700
2015-01-23,10.59,10.95,10.45,10.62,9.219207,74000
2015-01-26,10.74,11.17,10.709,10.83,9.401505,51200
2015-01-27,10.78,10.97,10.77,10.89,9.453596000000001,10900
2015-01-28,10.831,10.98,10.79,10.8,9.375463,20400
2015-01-29,10.82,11.0,10.57,10.68,9.271296000000001,17500
2015-01-30,10.56,10.726,10.39,10.45,9.071633,55200
2015-02-02,10.45,10.71,10.26,10.56,9.167119999999999,45500
2015-02-03,10.69,10.79,10.52,10.59,9.193163,14100
2015-02-04,10.59,10.8,10.59,10.68,9.271296000000001,20500
2015-02-05,10.68,10.75,10.59,10.6,9.201841,14900
2015-02-06,10.62,10.85,10.62,10.66,9.253932,40300
2015-02-09,10.64,10.92,10.6,10.6,9.201841,12100
2015-02-10,10.66,10.704,10.42,10.59,9.193163,22000
2015-02-11,10.56,10.79,10.51,10.55,9.158439,46500
2015-02-12,10.65,10.65,10.5,10.5,9.115037,61100
2015-02-13,10.55,10.75,10.5,10.68,9.302301,59500
2015-02-17,10.68,10.79,10.57,10.57,9.206489,61200
2015-02-18,10.58,10.676,10.58,10.63,9.258751,20300
2015-02-19,10.63,10.688,10.57,10.57,9.206489,23400
2015-02-20,10.57,10.7,10.51,10.6,9.232621,67300
2015-02-23,10.63,10.919,10.55,10.86,9.459079,41200
2015-02-24,10.91,11.139,10.67,10.87,9.467792999999999,68800
2015-02-25,10.956,11.46,10.956,11.46,9.981681,34900
2015-02-26,11.5,11.68,11.32,11.48,9.999103999999999,33700
2015-02-27,11.61,12.1,11.55,11.91,10.373633,49900
2015-03-02,11.87,11.92,11.61,11.74,10.225563000000001,27800
2015-03-03,11.74,11.778,11.5,11.51,10.025232,26200
