Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,0.066,0.068,0.06,0.06,0.06,12200
2015-01-05,0.065,0.09,0.06,0.061,0.061,34400
2015-01-06,0.061,0.09,0.061,0.067,0.067,50700
2015-01-07,0.068,0.089,0.068,0.08,0.08,97900
2015-01-08,0.08,0.085,0.075,0.075,0.075,19900
2015-01-09,0.074,0.084,0.071,0.084,0.084,13200
2015-01-12,0.088,0.1,0.085,0.093,0.093,109100
2015-01-13,0.1,0.13,0.095,0.12,0.12,130600
2015-01-14,0.124,0.125,0.092,0.102,0.102,149100
2015-01-15,0.092,0.106,0.092,0.092,0.092,8900
2015-01-16,0.102,0.115,0.1,0.113,0.113,61500
2015-01-20,0.1,0.115,0.075,0.11,0.11,49100
2015-01-21,0.096,0.102,0.095,0.095,0.095,31000
2015-01-22,0.085,0.1,0.082,0.1,0.1,20900
2015-01-23,0.1,0.1,0.08,0.084,0.084,12400
2015-01-26,0.08,0.1,0.08,0.091,0.091,33400
2015-01-27,0.073,0.08,0.073,0.08,0.08,2000
2015-01-28,0.071,0.094,0.071,0.071,0.071,100900
2015-01-29,0.071,0.094,0.071,0.09,0.09,8300
2015-01-30,0.098,0.098,0.085,0.088,0.088,15000
2015-02-02,0.095,0.095,0.085,0.09,0.09,15000
2015-02-03,0.085,0.095,0.085,0.088,0.088,40000
2015-02-04,0.09,0.095,0.085,0.092,0.092,87000
2015-02-05,0.085,0.09,0.071,0.085,0.085,268100
2015-02-06,0.078,0.08,0.07,0.07,0.07,528300
2015-02-09,0.07,0.075,0.07,0.07,0.07,42400
2015-02-10,0.071,0.075,0.07,0.075,0.075,22500
2015-02-11,0.075,0.075,0.067,0.073,0.073,59100
2015-02-12,0.071,0.089,0.071,0.089,0.089,14300
2015-02-13,0.07,0.087,0.07,0.087,0.087,5700
2015-02-17,0.07,0.087,0.065,0.08,0.08,30400
2015-02-18,0.08,0.08,0.065,0.071,0.071,31800
2015-02-19,0.071,0.071,0.066,0.067,0.067,33900
2015-02-20,0.07,0.07,0.065,0.067,0.067,191700
2015-02-23,0.065,0.067,0.058,0.06,0.06,156300
2015-02-24,0.058,0.065,0.045,0.055,0.055,222400
2015-02-25,0.048,0.054,0.048,0.049,0.049,26000
2015-02-26,0.055,0.07,0.048,0.06,0.06,82600
2015-02-27,0.05,0.061,0.049,0.061,0.061,161300
2015-03-02,0.047,0.065,0.047,0.06,0.06,35200
2015-03-03,0.049,0.068,0.049,0.068,0.068,209700
2015-03-04,0.05,0.06,0.05,0.055,0.055,18000
2015-03-05,0.06,0.06,0.055,0.055,0.055,32500
2015-03-06,0.06,0.068,0.05,0.05,0.05,117800
2015-03-09,0.055,0.068,0.055,0.06,0.06,132200
2015-03-10,0.058,0.06,0.058,0.058,0.058,27800
2015-03-11,0.063,0.068,0.051,0.06,0.06,89900
2015-03-12,0.06,0.069,0.055,0.055,0.055,6300
2015-03-13,0.057,0.068,0.057,0.068,0.068,2800
2015-03-16,0.07,0.07,0.05,0.05,0.05,132400
2015-03-17,0.05,0.06,0.05,0.055,0.055,63900
2015-03-18,0.052,0.06,0.051,0.06,0.06,3100
2015-03-19,0.05,0.059,0.05,0.055,0.055,101200
2015-03-20,0.057,0.058,0.05,0.05,0.05,147800
2015-03-23,0.05,0.055,0.044,0.046,0.046,100600
2015-03-24,0.044,0.049,0.044,0.047,0.047,160000
2015-03-25,0.05,0.05,0.046,0.046,0.046,17500
2015-03-26,0.046,0.046,0.041,0.044,0.044,86800
2015-03-27,0.044,0.05,0.031,0.04,0.04,229600
2015-03-30,0.04,0.044,0.035,0.035,0.035,124100
2015-03-31,0.035,0.04,0.035,0.035,0.035,19300
2015-04-01,0.038,0.041,0.035,0.035,0.035,99600
2015-04-02,0.041,0.041,0.035,0.036,0.036,86700
2015-04-06,0.044,0.044,0.03,0.032,0.032,145300
2015-04-07,0.044,0.044,0.026,0.03,0.03,145400
2015-04-08,0.026,0.029,0.026,0.026,0.026,189800
2015-04-09,0.026,0.035,0.026,0.03,0.03,33200
2015-04-10,0.028,0.03,0.026,0.027,0.027,8400
2015-04-13,0.026,0.03,0.026,0.028,0.028,14200
2015-04-14,0.028,0.028,0.026,0.027,0.027,49000
