Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,3.89,4.14,3.89,4.1,1.968304,217200
2015-01-05,4.08,4.09,3.86,3.98,1.910695,210700
2015-01-06,4.03,4.03,3.75,3.78,1.8146799999999998,305500
2015-01-07,3.78,4.01,3.78,3.89,1.867488,328600
2015-01-08,3.96,4.02,3.9,3.9,1.8722889999999999,221800
2015-01-09,3.95,4.05,3.9,3.91,1.8770900000000001,221100
2015-01-12,3.9,3.95,3.81,3.91,1.8770900000000001,153500
2015-01-13,3.94,3.97,3.84,3.94,1.891493,293800
2015-01-14,3.88,4.0,3.82,3.98,1.910695,266600
2015-01-15,4.04,4.04,3.96,4.0,1.9202970000000001,95800
2015-01-16,4.0,4.05,3.96,4.04,1.9395,118000
2015-01-20,4.05,4.09,3.95,3.97,1.9058950000000001,118800
2015-01-21,4.01,4.07,4.0,4.03,1.9346990000000002,149600
2015-01-22,4.06,4.06,3.98,4.06,1.9491009999999998,236100
2015-01-23,4.07,4.15,4.03,4.1,1.968304,184200
2015-01-26,4.15,4.3,4.1,4.3,2.064319,192000
2015-01-27,4.25,4.49,4.25,4.26,2.045116,354700
2015-01-28,4.3,4.43,4.26,4.31,2.0691200000000003,181600
2015-01-29,4.32,4.34,4.15,4.26,2.045116,184400
2015-01-30,4.36,4.54,4.34,4.5,2.160334,498300
2015-02-02,4.54,4.89,4.51,4.87,2.337961,463600
2015-02-03,5.0,5.08,4.87,5.02,2.409973,582500
2015-02-04,5.0,5.05,4.94,5.01,2.4051720000000003,349000
2015-02-05,5.01,5.08,4.96,4.98,2.3907689999999997,480200
2015-02-06,4.99,5.11,4.96,5.11,2.453179,412600
2015-02-09,5.18,5.33,5.17,5.3,2.544394,1015900
2015-02-10,5.3,5.34,5.05,5.15,2.472382,698900
2015-02-11,4.69,4.7,4.46,4.68,2.423193,496200
2015-02-12,4.66,4.68,4.45,4.56,2.3610599999999997,417400
2015-02-13,4.65,4.7,4.61,4.66,2.4128380000000003,314800
2015-02-17,4.62,4.63,4.4,4.45,2.304105,311000
2015-02-18,4.5,4.55,4.45,4.48,2.3196380000000003,124300
2015-02-19,4.4,4.42,4.28,4.3,2.226439,337900
2015-02-20,4.32,4.44,4.32,4.34,2.24715,173800
2015-02-23,4.29,4.34,4.22,4.24,2.1953720000000003,198100
2015-02-24,4.24,4.55,4.23,4.38,2.267861,246400
2015-02-25,4.37,4.48,4.35,4.4,2.278216,107400
2015-02-26,4.4,4.4,4.3,4.34,2.24715,125000
2015-02-27,4.53,4.6,4.45,4.51,2.335171,331300
2015-03-02,4.56,4.68,4.5,4.63,2.397304,305400
2015-03-03,4.61,4.63,4.55,4.58,2.371416,143000
2015-03-04,4.57,4.57,4.51,4.54,2.350705,131700
2015-03-05,4.55,4.57,4.5,4.56,2.3610599999999997,161200
2015-03-06,4.56,4.57,4.5,4.55,2.355882,115600
2015-03-09,4.53,4.54,4.4,4.41,2.283394,154800
