Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.01,6.01,6.01,6.01,5.666442,0
2015-01-05,6.29,6.29,6.25,6.25,5.892722,1000
2015-01-06,6.25,6.25,6.25,6.25,5.892722,0
2015-01-07,6.25,6.25,6.25,6.25,5.892722,0
2015-01-08,6.25,6.25,6.25,6.25,5.892722,0
2015-01-09,6.25,6.3,6.25,6.3,5.939865,1500
2015-01-12,6.21,6.21,6.21,6.21,5.85501,100
2015-01-13,6.25,6.25,6.25,6.25,5.892722,300
2015-01-14,6.25,6.49,6.25,6.37,6.0058620000000005,1900
2015-01-15,6.26,6.26,6.25,6.25,5.892722,700
2015-01-16,6.49,6.49,6.47,6.49,6.119003,1200
2015-01-20,6.49,6.49,6.49,6.49,6.119003,0
2015-01-21,6.49,6.49,6.49,6.49,6.119003,0
2015-01-22,6.49,6.49,6.49,6.49,6.119003,300
2015-01-23,6.3,6.49,6.0,6.49,6.119003,13500
2015-01-26,6.22,6.99,6.22,6.86,6.467852,20200
2015-01-27,6.85,6.98,6.74,6.74,6.354712,25800
2015-01-28,6.67,6.67,6.45,6.45,6.081289,800
2015-01-29,6.35,6.7,6.1,6.56,6.185002,44300
2015-01-30,6.61,6.75,6.4,6.45,6.081289,33000
2015-02-02,6.37,6.56,6.26,6.26,5.902151,1100
2015-02-03,6.36,6.36,6.34,6.34,5.977578,400
2015-02-04,6.26,6.3,6.26,6.27,5.911579,3800
2015-02-05,6.25,6.25,6.25,6.25,5.892722,200
2015-02-06,6.01,6.17,6.01,6.17,5.817296,3400
2015-02-09,6.16,6.16,6.16,6.16,5.807867,200
2015-02-10,6.1,6.42,5.92,6.13,5.779583000000001,35000
2015-02-11,6.27,6.74,6.05,6.55,6.175573,63500
2015-02-12,6.78,6.79,6.6,6.6,6.222715,8900
2015-02-13,6.63,6.67,6.37,6.5,6.128431,5900
2015-02-17,6.69,6.69,6.17,6.27,5.911579,37700
2015-02-18,6.27,6.82,6.1,6.6,6.222715,180600
2015-02-19,6.62,6.8,6.57,6.62,6.241572,44700
2015-02-20,6.45,6.45,6.27,6.33,5.9681489999999995,1900
2015-02-23,6.33,6.33,6.33,6.33,5.9681489999999995,0
2015-02-24,6.06,6.06,6.06,6.06,5.713584,0
2015-02-25,6.05,6.05,6.05,6.05,5.704155,0
2015-02-26,6.25,6.44,6.11,6.44,6.071861,67200
2015-02-27,6.15,6.69,6.15,6.45,6.081289,96300
2015-03-02,6.47,6.58,6.24,6.5,6.128431,63300
2015-03-03,6.5,6.5,6.5,6.5,6.128431,0
2015-03-04,6.38,6.38,6.23,6.26,5.902151,5600
2015-03-05,6.26,6.26,6.26,6.26,5.902151,0
2015-03-06,6.45,6.45,6.37,6.37,6.0058620000000005,2200
2015-03-09,6.25,6.45,6.22,6.33,5.9681489999999995,1300
2015-03-10,6.38,6.38,6.38,6.38,6.015291,200
2015-03-11,6.43,6.45,6.3,6.45,6.081289,400
2015-03-12,6.42,6.42,6.17,6.22,5.864437000000001,3300
2015-03-13,6.22,6.22,6.22,6.22,5.864437000000001,300
2015-03-16,6.22,6.26,6.22,6.26,5.902151,1500
2015-03-17,6.29,6.29,6.05,6.25,5.892722,16700
2015-03-18,6.3,6.44,6.3,6.44,6.071861,1700
2015-03-19,6.35,6.5,6.26,6.3,5.939865,4500
2015-03-20,6.3,6.64,6.05,6.05,5.704155,57100
2015-03-23,6.44,6.44,6.13,6.32,5.958721,16100
2015-03-24,6.45,6.45,6.45,6.45,6.081289,400
2015-03-25,6.37,6.37,6.37,6.37,6.0058620000000005,400
2015-03-26,6.49,6.49,6.49,6.49,6.119003,100
2015-03-27,6.41,6.9,6.41,6.88,6.486708999999999,38700
2015-03-30,6.81,6.81,6.75,6.8,6.411282,9300
2015-03-31,6.89,6.92,6.81,6.89,6.496137,8800
2015-04-01,6.89,6.89,6.84,6.84,6.448996,700
2015-04-02,6.88,7.06,6.84,7.05,6.646991000000001,3100
2015-04-06,6.99,7.06,6.89,7.06,6.6564190000000005,6300
2015-04-07,6.91,6.91,6.91,6.91,6.514994000000001,200
2015-04-08,6.8,6.89,6.7,6.89,6.496137,10000
2015-04-09,6.9,6.9,6.62,6.62,6.241572,300
2015-04-10,6.62,6.62,6.62,6.62,6.241572,0
2015-04-13,6.62,6.86,6.58,6.8,6.411282,5500
2015-04-14,6.55,6.55,6.55,6.55,6.175573,300
2015-04-15,6.7,6.99,6.7,6.9,6.505566,1300
2015-04-16,6.87,6.91,6.83,6.9,6.505566,8300
2015-04-17,6.9,6.9,6.9,6.9,6.505566,0
2015-04-20,6.86,6.88,6.86,6.88,6.486708999999999,1500
2015-04-21,6.88,6.88,6.88,6.88,6.486708999999999,0
2015-04-22,6.78,6.78,6.78,6.78,6.392425,2000
2015-04-23,6.78,6.78,6.78,6.78,6.392425,0
2015-04-24,6.6,6.85,6.6,6.85,6.458424,7900
2015-04-27,6.85,6.85,6.85,6.85,6.458424,300
2015-04-28,6.84,6.85,6.82,6.82,6.430139,800
2015-04-29,6.48,6.7,6.48,6.7,6.316998,3300
2015-04-30,6.66,6.66,6.66,6.66,6.279285,200
2015-05-01,6.5,6.7,6.5,6.55,6.175573,7900
2015-05-04,6.5,6.78,6.5,6.78,6.392425,4300
2015-05-05,6.5,6.81,6.5,6.78,6.392425,1200
2015-05-06,6.66,6.66,6.55,6.57,6.1944300000000005,5100
2015-05-07,6.57,6.57,6.57,6.57,6.1944300000000005,0
2015-05-08,6.8,6.88,6.62,6.88,6.486708999999999,4700
2015-05-11,6.7,6.9,6.57,6.57,6.1944300000000005,700
2015-05-12,6.57,6.57,6.57,6.57,6.1944300000000005,0
2015-05-13,6.74,6.74,6.73,6.73,6.3452839999999995,800
2015-05-14,6.68,6.7,6.52,6.6,6.222715,8200
2015-05-15,6.4,6.5,6.31,6.41,6.043576,10400
2015-05-18,6.45,6.45,6.42,6.42,6.053005000000001,1100
2015-05-19,6.33,6.33,6.31,6.31,5.949292,1000
2015-05-20,6.31,6.31,6.31,6.31,5.949292,0
2015-05-21,6.32,6.37,6.32,6.37,6.0058620000000005,1700
2015-05-22,6.39,6.46,6.39,6.46,6.090718,1100
2015-05-26,6.46,6.55,6.45,6.48,6.109575,8500
2015-05-27,6.5,6.5,6.5,6.5,6.128431,100
2015-05-28,6.5,6.5,6.47,6.47,6.100146,500
2015-05-29,6.54,6.54,6.43,6.43,6.062433,700
2015-06-01,6.57,6.67,6.57,6.67,6.2887129999999996,5100
2015-06-02,6.67,6.67,6.67,6.67,6.2887129999999996,0
2015-06-03,6.68,6.68,6.68,6.68,6.298141,100
2015-06-04,6.73,6.73,6.73,6.73,6.3452839999999995,100
2015-06-05,6.7,6.7,6.68,6.68,6.298141,1500
2015-06-08,6.4,6.4,6.4,6.4,6.034148,1800
2015-06-09,6.4,6.4,6.4,6.4,6.034148,0
2015-06-10,6.4,6.4,6.4,6.4,6.034148,0
2015-06-11,6.6,6.6,6.6,6.6,6.222715,1800
2015-06-12,6.7,6.75,6.7,6.75,6.364141,1200
2015-06-15,6.72,6.72,6.72,6.72,6.3358550000000005,100
2015-06-16,6.73,6.73,6.41,6.41,6.043576,300
2015-06-17,6.71,6.71,6.36,6.38,6.015291,700
2015-06-18,6.68,6.75,6.58,6.75,6.364141,1100
2015-06-19,6.34,6.34,6.3,6.31,5.949292,2400
2015-06-22,6.45,6.45,6.45,6.45,6.081289,100
2015-06-23,6.35,6.42,6.35,6.41,6.043576,600
2015-06-24,6.45,6.68,6.45,6.68,6.298141,2200
2015-06-25,6.7,6.7,6.67,6.7,6.316998,900
2015-06-26,6.7,6.7,6.7,6.7,6.4616620000000005,0
2015-06-29,6.65,6.65,6.65,6.65,6.413441000000001,1200
2015-06-30,6.65,6.65,6.65,6.65,6.413441000000001,0
2015-07-01,6.65,6.65,6.65,6.65,6.413441000000001,0
2015-07-02,6.4,6.42,6.4,6.42,6.191623,200
2015-07-06,6.42,6.42,6.42,6.42,6.191623,0
2015-07-07,6.42,6.42,6.42,6.42,6.191623,0
2015-07-08,6.42,6.42,6.42,6.42,6.191623,0
2015-07-09,6.42,6.42,6.42,6.42,6.191623,0
2015-07-10,6.74,6.74,6.74,6.74,6.500239,100
2015-07-13,6.74,6.74,6.5,6.5,6.268777,2400
2015-07-14,6.5,6.5,6.5,6.5,6.268777,0
2015-07-15,6.5,6.5,6.5,6.5,6.268777,0
2015-07-16,6.53,6.53,6.53,6.53,6.2977099999999995,300
2015-07-17,6.53,6.53,6.53,6.53,6.2977099999999995,0
2015-07-20,6.53,6.53,6.53,6.53,6.2977099999999995,0
2015-07-21,6.53,6.53,6.53,6.53,6.2977099999999995,0
2015-07-22,6.53,6.53,6.53,6.53,6.2977099999999995,0
2015-07-23,6.53,6.53,6.53,6.53,6.2977099999999995,0
2015-07-24,6.25,6.26,5.62,6.17,5.950516,7200
2015-07-27,6.17,6.17,6.17,6.17,5.950516,0
2015-07-28,6.17,6.17,6.17,6.17,5.950516,0
2015-07-29,6.14,6.15,6.06,6.06,5.844429,2300
2015-07-30,6.15,6.15,6.13,6.14,5.921583,1100
2015-07-31,6.01,6.25,6.01,6.25,6.02767,1500
2015-08-03,6.25,6.25,6.25,6.25,6.02767,0
2015-08-04,5.93,6.05,5.93,6.05,5.834785,200
2015-08-05,6.05,6.05,6.05,6.05,5.834785,0
2015-08-06,6.1,6.1,6.1,6.1,5.883006,100
2015-08-07,6.1,6.1,6.1,6.1,5.883006,0
2015-08-10,6.23,6.23,6.23,6.23,6.008382,100
2015-08-11,6.23,6.23,6.23,6.23,6.008382,0
2015-08-12,6.25,6.25,6.03,6.03,5.8154959999999996,400
2015-08-13,7.0,7.94,6.75,7.5,7.233204,45900
2015-08-14,7.5,7.5,7.2,7.5,7.233204,17500
