company_name,ticker,sector
3i,III,Financial Services
Admiral Group,ADM,Nonlife Insurance
Anglo American plc,AAL,Mining
Antofagasta,ANTO,Mining
Ashtead Group,AHT,Support Services
Associated British Foods,ABF,Food Producers
AstraZeneca,AZN,Pharmaceuticals & Biotechnology
Aviva,AV.,Life Insurance
BAE Systems,BA.,Aerospace & Defense
Barclays,BARC,Banks
Barratt Developments,BDEV,Household Goods & Home Construction
Berkeley Group Holdings,BKG,Household Goods & Home Construction
BHP,BLT,Mining
BP,BP.,Oil & Gas Producers
British American Tobacco,BATS,Tobacco
British Land,BLND.L,Real Estate Investment Trusts
BT Group,BT.A,Fixed Line Telecommunications
Bunzl,BNZL,Support Services
Burberry,BRBY,Personal Goods
Carnival Corporation & plc,CCL,Travel & Leisure
Centrica,CNA,"Gas, Water & Multiutilities"
Coca-Cola HBC AG,CCH,Beverages
Compass Group,CPG,Travel & Leisure
CRH plc,CRH,Construction & Materials
Croda International,CRDA,Chemicals
DCC plc,DCC,Support Services
Diageo,DGE,Beverages
Direct Line Group,DLG,Nonlife Insurance
easyJet,EZJ,Travel & Leisure
Evraz,EVR,Industrial Metals & Mining
Experian,EXPN,Support Services
Ferguson plc,FERG,Support Services
Fresnillo plc,FRES,Mining
G4S,GFS,Support Services
GKN,GKN,Automobiles & Parts
GlaxoSmithKline,GSK,Pharmaceuticals & Biotechnology
Glencore,GLEN,Mining
Halma,HLMA,Electronic & Electrical Equipment
Hammerson,HMSO,Real Estate Investment Trusts
Hargreaves Lansdown,HL.,Financial Services
HSBC,HSBA,Banks
Imperial Brands,IMB,Tobacco
Informa,INF,Media
InterContinental Hotels Group,IHG,Travel & Leisure
International Airlines Group,IAG,Travel & Leisure
Intertek,ITRK,Support Services
ITV plc,ITV,Media
Johnson Matthey,JMAT,Chemicals
Just Eat,JE.,General Retailers
Kingfisher plc,KGF,General Retailers
Land Securities,LAND,Real Estate Investment Trusts
Legal & General,LGEN,Life Insurance
Lloyds Banking Group,LLOY,Banks
London Stock Exchange Group,LSE,Financial Services
Marks & Spencer,MKS,General Retailers
Mediclinic International,MDC,Health Care Equipment & Services
Micro Focus,MCRO,Software & Computer Services
Mondi,MNDI,Forestry & Paper
Morrisons,MRW,Food & Drug Retailers
National Grid plc,NG.,"Gas, Water & Multiutilities"
Next plc,NXT,General Retailers
NMC Health,NMC,Health Care Equipment & Services
Old Mutual,OML,Life Insurance
Paddy Power Betfair,PPB,Travel & Leisure
Pearson PLC,PSON,Media
Persimmon plc,PSN,Household Goods & Home Construction
Prudential plc,PRU,Life Insurance
Randgold Resources,RRS,Mining
Reckitt Benckiser,RB.,Household Goods & Home Construction
RELX Group,REL,Media
Rentokil Initial,RTO,Support Services
Rio Tinto Group,RIO,Mining
Rolls-Royce Holdings,RR.,Aerospace & Defense
The Royal Bank of Scotland Group,RBS,Banks
Royal Dutch Shell,RDSA,Oil & Gas Producers
RSA Insurance Group,RSA,Nonlife Insurance
Sage Group,SGE,Software & Computer Services
Sainsbury's,SBRY,Food & Drug Retailers
Schroders,SDR,Financial Services
Scottish Mortgage Investment Trust,SMT,Equity Investment Instruments
Segro,SGRO,Real Estate Investment Trusts
Severn Trent,SVT,"Gas, Water & Multiutilities"
Shire plc,SHP,Pharmaceuticals & Biotechnology
Sky plc,SKY,Media
Smith & Nephew,SN.,Health Care Equipment & Services
"Smith, D.S.",SMDS,General Industrials
Smiths Group,SMIN,General Industrials
Smurfit Kappa,SKG,General Industrials
SSE plc,SSE,Electricity
Standard Chartered,STAN,Banks
Standard Life Aberdeen,SLA,Financial Services
St. James's Place plc,STJ,Life Insurance
Taylor Wimpey,TW.,Household Goods & Home Construction
Tesco,TSCO,Food & Drug Retailers
TUI Group,TUI,Travel & Leisure
Unilever,ULVR,Personal Goods
United Utilities,UU.,"Gas, Water & Multiutilities"
Vodafone Group,VOD,Mobile Telecommunications
Whitbread,WTB,Retail hospitality
WPP plc,WPP,Media
