Date Open High Low Close "Adj Close" Volume
2017-05-31 10.1 11.3 9.93 10.41 10.41 0
2017-06-01 10.42 10.54 9.69 9.89 9.89 0
2017-06-02 10.08 10.3 9.58 9.75 9.75 0
2017-06-05 10.08 10.28 9.6 10.07 10.07 0
2017-06-06 10.19 10.77 9.86 10.45 10.45 0
2017-06-07 10.48 10.93 10.12 10.39 10.39 0
2017-06-08 10.27 10.53 9.73 10.16 10.16 0
2017-06-09 9.93 12.11 9.37 10.7 10.7 0
2017-06-12 11.19 12.37 11.19 11.46 11.46 0
2017-06-13 11.12 11.14 10.26 10.42 10.42 0
2017-06-14 10.33 11.26 10.01 10.64 10.64 0
2017-06-15 11.06 12.01 10.74 10.9 10.9 0
2017-06-16 10.63 11.35 10.26 10.38 10.38 0
2017-06-19 10.57 10.6 10.01 10.37 10.37 0
2017-06-20 10.28 11.15 10.24 10.86 10.86 0
2017-06-21 11.03 11.4 10.4 10.75 10.75 0
2017-06-22 10.81 11.01 10.24 10.48 10.48 0
2017-06-23 10.25 10.69 9.85 10.02 10.02 0
2017-06-26 10.13 10.44 9.68 9.9 9.9 0
2017-06-27 10.04 11.31 9.8 11.06 11.06 0
2017-06-28 11.17 11.49 9.76 10.03 10.03 0
2017-06-29 9.79 15.16 9.73 11.44 11.44 0
2017-06-30 11.74 11.85 10.4 11.18 11.18 0
2017-07-03 11.07 11.45 10.28 11.22 11.22 0
2017-07-05 11.2 12.03 10.79 11.07 11.07 0
2017-07-06 11.2 13.05 11.18 12.54 12.54 0
2017-07-07 12.48 12.57 10.98 11.19 11.19 0
2017-07-10 11.26 11.73 10.61 11.11 11.11 0
2017-07-11 10.79 12.14 10.68 10.89 10.89 0
2017-07-12 10.85 10.85 10.08 10.3 10.3 0
2017-07-13 10.07 10.4 9.9 9.9 9.9 0
2017-07-14 10.09 10.14 9.5 9.51 9.51 0
2017-07-17 9.77 10.03 9.71 9.82 9.82 0
2017-07-18 9.86 10.35 9.66 9.89 9.89 0
2017-07-19 9.69 9.94 9.58 9.79 9.79 0
2017-07-20 9.66 10.28 9.5 9.58 9.58 0
2017-07-21 9.52 9.98 9.3 9.36 9.36 0
2017-07-24 9.94 9.97 9.26 9.43 9.43 0
2017-07-25 9.4 9.52 9.04 9.43 9.43 0
2017-07-26 9.25 9.66 8.84 9.6 9.6 0
2017-07-27 9.33 11.5 9.16 10.11 10.11 0
2017-07-28 10.62 11.3 10.26 10.29 10.29 0
2017-07-31 10.53 10.84 10.23 10.26 10.26 0
2017-08-01 10.19 10.56 9.95 10.09 10.09 0
2017-08-02 10.08 10.81 9.8 10.28 10.28 0
2017-08-03 10.47 10.6 9.9 10.44 10.44 0
2017-08-04 10.48 10.5 9.68 10.03 10.03 0
2017-08-07 10.19 10.32 9.76 9.93 9.93 0
2017-08-08 10.04 11.52 9.52 10.96 10.96 0
2017-08-09 11.49 12.63 11.11 11.11 11.11 0
2017-08-10 11.57 16.17 11.56 16.040001 16.040001 0
2017-08-11 16.17 17.280001000000002 14.5 15.51 15.51 0
2017-08-14 14.05 14.05 12.06 12.33 12.33 0
2017-08-15 11.78 12.37 11.45 12.04 12.04 0
2017-08-16 11.59 12.54 11.25 11.74 11.74 0
2017-08-17 11.81 15.77 11.54 15.55 15.55 0
2017-08-18 15.38 16.040001 13.32 14.26 14.26 0
2017-08-21 14.59 14.74 13.07 13.19 13.19 0
2017-08-22 12.6 12.94 11.35 11.35 11.35 0
2017-08-23 11.51 12.59 11.39 12.25 12.25 0
2017-08-24 12.06 12.83 11.55 12.23 12.23 0
2017-08-25 12.2 12.45 11.1 11.28 11.28 0
2017-08-28 12.09 12.11 11.23 11.32 11.32 0
2017-08-29 13.33 14.34 11.48 11.7 11.7 0
2017-08-30 11.4 11.98 10.96 11.22 11.22 0
2017-08-31 11.07 11.22 10.34 10.59 10.59 0
2017-09-01 10.33 10.46 10.02 10.13 10.13 0
2017-09-05 11.75 14.06 11.41 12.23 12.23 0
2017-09-06 12.27 12.59 11.35 11.63 11.63 0
2017-09-07 11.93 12.07 11.32 11.55 11.55 0
2017-09-08 11.87 12.6 11.84 12.12 12.12 0
2017-09-11 11.38 11.39 10.51 10.73 10.73 0
2017-09-12 10.66 10.95 10.29 10.58 10.58 0
2017-09-13 10.72 10.86 10.33 10.5 10.5 0
2017-09-14 10.57 11.04 10.28 10.44 10.44 0
2017-09-15 10.51 10.74 10.0 10.17 10.17 0
2017-09-18 10.18 10.42 9.88 10.15 10.15 0
2017-09-19 10.16 10.3 9.85 10.18 10.18 0
2017-09-20 10.04 10.67 9.67 9.78 9.78 0
2017-09-21 9.74 10.21 9.54 9.67 9.67 0
2017-09-22 9.9 10.2 9.5 9.59 9.59 0
2017-09-25 10.08 11.21 9.79 10.21 10.21 0
2017-09-26 10.42 10.68 9.94 10.17 10.17 0
2017-09-27 9.9 10.42 9.63 9.87 9.87 0
2017-09-28 9.74 10.13 9.55 9.55 9.55 0
2017-09-29 9.59 9.83 9.36 9.51 9.51 0
2017-10-02 9.59 10.04 9.37 9.45 9.45 0
2017-10-03 9.3 9.75 9.3 9.51 9.51 0
2017-10-04 9.53 9.88 9.53 9.63 9.63 0
2017-10-05 9.48 9.62 9.13 9.19 9.19 0
2017-10-06 9.23 10.27 9.11 9.65 9.65 0
2017-10-09 9.92 10.53 9.88 10.33 10.33 0
2017-10-10 10.15 10.66 9.94 10.08 10.08 0
2017-10-11 9.95 10.38 9.72 9.85 9.85 0
2017-10-12 9.94 10.33 9.65 9.91 9.91 0
2017-10-13 9.95 9.98 9.44 9.61 9.61 0
2017-10-16 9.95 10.02 9.75 9.91 9.91 0
2017-10-17 9.85 10.46 9.78 10.31 10.31 0
2017-10-18 10.34 10.41 9.87 10.07 10.07 0
2017-10-19 10.22 11.77 9.99 10.05 10.05 0
2017-10-20 9.92 10.04 9.29 9.97 9.97 0
2017-10-23 10.25 11.08 9.94 11.07 11.07 0
2017-10-24 10.89 11.16 10.39 11.16 11.16 0
2017-10-25 11.34 13.2 10.99 11.23 11.23 0
2017-10-26 11.17 11.81 10.6 11.3 11.3 0
2017-10-27 11.12 11.12 9.74 9.8 9.8 0
2017-10-30 10.28 10.89 10.1 10.5 10.5 0
2017-10-31 10.34 10.37 9.9 10.18 10.18 0
2017-11-01 9.79 10.49 9.74 10.2 10.2 0
2017-11-02 10.44 10.89 9.67 9.93 9.93 0
2017-11-03 9.83 9.91 8.99 9.14 9.14 0
2017-11-06 9.63 9.74 9.38 9.4 9.4 0
2017-11-07 9.31 10.31 9.29 9.89 9.89 0
2017-11-08 9.79 10.27 9.5 9.78 9.78 0
2017-11-09 9.94 12.19 9.79 10.5 10.5 0
2017-11-10 10.78 11.58 10.5 11.29 11.29 0
2017-11-13 11.43 12.18 11.0 11.5 11.5 0
2017-11-14 11.53 12.61 11.45 11.59 11.59 0
2017-11-15 12.52 14.51 12.33 13.13 13.13 0
2017-11-16 12.47 12.52 11.38 11.76 11.76 0
2017-11-17 11.75 12.01 11.16 11.43 11.43 0
2017-11-20 11.96 12.08 10.44 10.65 10.65 0
2017-11-21 10.74 10.78 9.67 9.73 9.73 0
2017-11-22 9.6 9.88 9.32 9.88 9.88 0
2017-11-24 9.82 9.96 8.56 9.67 9.67 0
2017-11-27 10.07 10.26 9.79 9.87 9.87 0
2017-11-28 9.72 10.31 9.53 10.03 10.03 0
2017-11-29 9.91 10.93 9.81 10.7 10.7 0
2017-11-30 10.49 12.05 10.25 11.28 11.28 0
2017-12-01 11.19 14.58 10.54 11.43 11.43 0
2017-12-04 11.05 11.86 10.26 11.68 11.68 0
