Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,105.230003,106.099998,103.57,104.860001,101.107697,2128300
2017-01-04,105.32,106.519997,105.160004,106.139999,102.341888,2071700
2017-01-05,105.519997,106.160004,103.449997,104.550003,100.80879200000001,1720400
2017-01-06,105.18,105.970001,104.75,105.150002,101.387321,1983700
2017-01-09,104.470001,105.5,103.93,104.739998,100.991997,1857700
2017-01-10,105.0,106.589996,104.889999,105.57,101.79229699999999,1491500
2017-01-11,105.720001,107.089996,105.309998,106.489998,102.679375,1990700
2017-01-12,105.620003,105.910004,103.050003,104.220001,100.490608,2302600
2017-01-13,105.129997,106.459999,104.540001,105.230003,101.464462,1380300
2017-01-17,103.989998,104.980003,103.529999,103.91999799999999,100.20134,2759500
2017-01-18,104.739998,105.650002,103.639999,105.589996,101.811577,2525000
2017-01-19,105.980003,106.029999,103.889999,104.760002,101.011276,2078300
2017-01-20,105.269997,106.050003,104.889999,105.589996,101.811577,1673100
2017-01-23,105.099998,105.510002,104.099998,104.489998,100.750938,1292100
2017-01-24,105.07,106.440002,105.040001,105.690002,101.907997,1294900
2017-01-25,106.690002,107.5,106.339996,107.360001,103.51823399999999,2176300
2017-01-26,107.33000200000001,108.059998,106.849998,107.339996,103.49895500000001,2105100
2017-01-27,106.800003,107.160004,106.260002,106.589996,102.775787,995400
2017-01-30,106.07,106.199997,104.010002,105.57,101.79229699999999,2425700
2017-01-31,105.459999,106.279999,104.160004,105.110001,101.34875500000001,1573600
2017-02-01,106.129997,107.059998,104.599998,105.559998,101.782646,1579500
2017-02-02,104.43,105.629997,103.410004,104.43,100.693085,1552800
2017-02-03,106.16999799999999,106.879997,105.339996,106.33000200000001,102.525093,2060400
2017-02-06,105.41999799999999,106.650002,105.349998,106.110001,102.312973,1191400
2017-02-07,106.75,106.989998,105.730003,106.589996,102.775787,1599200
2017-02-08,105.889999,105.900002,104.449997,105.220001,101.454826,2305800
2017-02-09,105.220001,108.949997,105.220001,108.389999,104.511383,2421100
2017-02-10,108.589996,109.150002,108.08000200000001,108.75,104.858498,2707800
2017-02-13,108.83000200000001,110.58000200000001,108.769997,109.800003,105.870934,2189300
2017-02-14,109.290001,110.989998,109.290001,110.449997,106.49766499999998,2720700
2017-02-15,110.769997,111.980003,109.889999,111.790001,107.78971100000001,2652200
2017-02-16,111.400002,112.279999,111.18,112.110001,108.09826699999999,2302000
2017-02-17,110.279999,111.110001,109.910004,111.110001,107.85558300000001,2518700
2017-02-21,111.970001,112.389999,111.040001,111.220001,107.96235700000001,1905700
